School Name,Category,Street Address,City,State,ZIP Code,Students,Grant Category,Organization Name,Fiscal Year,Mapped Location
Susan Gray School,Private,110 Magnolia Circle,Nashville,TN,37203,24,Basic Operating,Frist Center for the Visual Arts,FY16,
Buena Vista Elementary,MNPS,1531 9th Avenue North,Nashville,TN,37208-2109,24,Basic Operating,Cheekwood,FY19,"1531 9th Avenue North
Nashville, TN 37208-2109
(36.177928, -86.797921)"
Home School,Home Schooled,Various addresses,Joelton,TN,37080,28,Basic Operating,Nashville Children's Theatre,FY19,
John Early Museum Magnet Middle Prep,MNPS,1000 Cass Street,Nashville,TN,37208,25,Basic Operating,Nashville Children's Theatre,FY16,"1000 Cass Street
Nashville, TN 37208
(36.186443, -86.804661)"
J.T. Moore Middle Prep,MNPS,4425 Granny White Pike,Nashville,TN,37204,7,Basic Operating,Southern Word,FY16,"4425 Granny White Pike
Nashville, TN 37204
(36.09542, -86.801241)"
Cole Elementary School,MNPS,5060 Colemont Drive,Antioch,TN,37013,1,Basic Operating,W.O. Smith Music School,FY17,"5060 Colemont Drive
Antioch, TN 37013
(36.058085, -86.699196)"
Robert Churchwell Museum Magnet Elementary School,Elementary School,1625 Dr. D.B. Todd Junior Blvd.,Nashville,TN,37208,183,Basic operating,Frist Art Museum,FY19,
West End Middle Prep,MNPS,3529 West End Avenue,Nashville,TN,37205,1,Basic Operating,Nashville Jazz Workshop,FY17,"3529 West End Avenue
Nashville, TN 37205
(36.134835, -86.824625)"
Inglewood Elementary School,MNPS,1700 Riverside Drive,Nashville,TN,37206,35,Basic Operating,Frist Center for the Visual Arts,FY17,"1700 Riverside Drive
Nashville, TN 37206
(36.197707, -86.72332)"
Sylvan Park Paideia Design Center,MNPS,4801 Utah Avenue,Nashville,TN,37209,2,Arts Access,Global Education Center,FY17,"4801 Utah Avenue
Nashville, TN 37209
(36.144302, -86.84463)"
Nashville School of the Arts High School,MNPS,1250 Foster Avenue,Nashville,TN,37210,420,Basic Operating,Tennessee Performing Arts Center,FY16,"1250 Foster Avenue
Nashville, TN 37210
(36.131492, -86.741669)"
University School of Nashville,Private,2000 Edgehill Avenue,Nashville,TN,37212,99,Basic Operating,Frist Center for the Visual Arts,FY16,"2000 Edgehill Avenue
Nashville, TN 37212
(36.143997, -86.798995)"
Hull-Jackson Montessori Magnet School,MNPS,1015 Kellow Street,Nashville,TN,37208,38,Basic Operating,Tennessee Womens Theater Project,FY16,"1015 Kellow Street
Nashville, TN 37208
(36.190768, -86.807322)"
Bass Alternative Learning Center,MNPS,5200 Delaware Avenue,Nashville,TN,37209,8,Basic Operating,Global Education Center,FY19,"5200 Delaware Avenue
Nashville, TN 37209
(36.154099, -86.851313)"
NIA House Montessori School,Private School,620 North 1st Street,nashville,TN,37207,15,Basic Operating,Nashville Children's Theatre,FY19,
Purpose Prep Academy,MNPS,220 Venture Circle,Nashville,TN,37228,4,Basic Operating,W.O. Smith Music School,FY17,"220 Venture Circle
Nashville, TN 37228
(36.194482, -86.79529)"
Antioch Middle Prep,MNPS,5050 Blue Hole Road,Antioch,TN,37013,17,After-School Arts,Frist Center for the Visual Arts,FY16,"5050 Blue Hole Road
Antioch, TN 37013
(36.056908, -86.672419)"
Charlotte Park Elementary,Metro Nashville Public School,480 Annex Ave.,Nashville,TN,37209,425,Basic Operating,Nashville Ballet,FY19,"480 Annex Ave.
Nashville, TN 37209
(36.15212, -86.88324)"
Eakin Elementary School,MNPS,2500 Fairfax Avenue,Nashville,TN,37212,1,Arts Access,"East Nashville Hope Exchange, Inc.",FY16,"2500 Fairfax Avenue
Nashville, TN 37212
(36.13475, -86.807413)"
Andrew Jackson Elementary School,MNPS,110 Shute Lane,Old Hickory,TN,37138,140,After-School Arts,Tennessee Performing Arts Center,FY17,"110 Shute Lane
Old Hickory, TN 37138
(36.232084, -86.622589)"
Jere Baxter Middle Prep,MNPS,350 Hart Lane,Nashville,TN,37207,72,Basic Operating,Nashville Symphony,FY17,"350 Hart Lane
Nashville, TN 37207
(36.219724, -86.750594)"
Richland Head Start,Pre-K/ELC,5900 Charlotte Pike,Nashville,TN,37209,148,Basic Operating,Tennessee Performing Arts Center,FY17,"5900 Charlotte Pike
Nashville, TN 37209
(36.149043, -86.863323)"
St. Ann's Catholic School,Private,5105 Charlotte Avenue,Nashville,TN,37209,180,Basic Operating,Global Education Center,FY16,"5105 Charlotte Avenue
Nashville, TN 37209
(36.151941, -86.849314)"
Hattie Cotton Elementary School,MNPS,1033 West Greenwood Avenue,Nashville,TN,37206,4,Arts Access,East Nashville Hope Exchange,FY17,"1033 West Greenwood Avenue
Nashville, TN 37206
(36.190618, -86.747804)"
DuPont Elementary School,MNPS,1311 9th Street,Old Hickory,TN,37138,179,Basic Operating,Nashville Children's Theatre,FY17,"1311 9th Street
Old Hickory, TN 37138
(36.261909, -86.652615)"
Clarksville High School,Other,151 Richview Rd,Clarksville,TN,37043,1,Core Operating,Theater Bug,FY19,"151 Richview Rd
Clarksville, TN 37043
(36.516804, -87.278407)"
Abintra Montessori School,Private School,914 Davidson Drive,Nashville,TN,37205,12,Basic operating,Frist Art Museum,FY19,"914 Davidson Drive
Nashville, TN 37205
(36.118209, -86.899237)"
Tusculum Elementary School,MNPS,4917 Nolensville Road,Nashville,TN,37211,20,Arts Access,Nashville Ballet,FY17,
Hillwood High School,MNPS,400 Davidson Road,Nashville,TN,37205,3,Basic Operating,W.O. Smith Music School,FY17,"400 Davidson Road
Nashville, TN 37205
(36.117025, -86.873648)"
Cole Elementary School,MNPS,5060 Colemont Drive,Antioch,TN,37013,472,Basic Operating,Country Music Foundation,FY16,"5060 Colemont Drive
Antioch, TN 37013
(36.058085, -86.699196)"
St. Pius X Classical Academy,Private,2750 Tucker Road,Nashville,TN,37218,40,Arts Access,Belcourt Theatre,FY17,"2750 Tucker Road
Nashville, TN 37218
(36.209308, -86.823372)"
St. Cecilia Academy,Private,4210 Harding Pike,Nashville,TN,37205,20,Basic Operating,Frist Center for the Visual Arts,FY16,"4210 Harding Pike
Nashville, TN 37205
(36.129287, -86.840639)"
St. Cecilia Academy,Private,4210 Harding Pike,Nashville,TN,37205,1,Basic Operating,W.O. Smith Music School,FY16,"4210 Harding Pike
Nashville, TN 37205
(36.129287, -86.840639)"
Stratton Elementary School,MNPS,310 West Old Hickory Blvd,Madison,TN,37115,550,Basic Operating,Nashville Ballet,FY16,"310 West Old Hickory Blvd
Madison, TN 37115
(36.263561, -86.716661)"
Berry Head Start,Pre-K/ELC,2233 Winford Avenue,Nashville,TN,37211,220,Basic Operating,Tennessee Performing Arts Center,FY17,"2233 Winford Avenue
Nashville, TN 37211
(36.122799, -86.756224)"
Abintra Montessori School,Private,914 Davidson Drive,Nashville,TN,37205,124,Basic Operating,Nashville Symphony,FY16,"914 Davidson Drive
Nashville, TN 37205
(36.118209, -86.899237)"
Tennessee School for the Blind,Other,115 Stewarts Ferry Pike,Nashville,TN,37214,147,Basic Operating,Nashville Children's Theatre,FY17,"115 Stewarts Ferry Pike
Nashville, TN 37214
(36.166855, -86.655375)"
John Early Museum Magnet Middle Prep,MNPS,1000 Cass Street,Nashville,TN,37208,80,Creation,OZ Arts,FY17,"1000 Cass Street
Nashville, TN 37208
(36.186443, -86.804661)"
Gower Elementary School,MNPS,650 Old Hickory Blvd,Nashville,TN,37209,2,Arts Access,Global Education Center,FY17,"650 Old Hickory Blvd
Nashville, TN 37209
(36.115285, -86.923093)"
Kirkpatrick Elementary Enhanced Option School,MNPS,1000 Sevier Street,Nashville,TN,37206,188,Basic Operating,Frist Center for the Visual Arts,FY16,"1000 Sevier Street
Nashville, TN 37206
(36.168341, -86.752899)"
John Early Museum Magnet Middle Prep,MNPS,1000 Cass Street,Nashville,TN,37208,14,After-School Arts,Nashville Children's Theatre,FY17,"1000 Cass Street
Nashville, TN 37208
(36.186443, -86.804661)"
Liberty Colleigate Academy,MNPS,3515 Gallatin Pike,Nashville,TN,37216,7,Basic Operating,W.O. Smith Music School,FY16,"3515 Gallatin Pike
Nashville, TN 37216
(36.212047, -86.732247)"
Antioch High School,MNPS,1900 Hobson Pike,Antioch,TN,37013,196,Basic Operating,Southern Word,FY16,"1900 Hobson Pike
Antioch, TN 37013
(36.047414, -86.60038)"
Amqui Elementary School,MNPS,319 Anderson Street,Madison,TN,37115,257,Basic Operating,Nashville Children's Theatre,FY19,"319 Anderson Street
Madison, TN 37115
(36.273163, -86.703988)"
Robert E. Lillard Elementary School,MNPS,3200 Kings Lane,Nashville,TN,37218,1,Arts Access,East Nashville Hope Exchange,FY17,"3200 Kings Lane
Nashville, TN 37218
(36.219935, -86.826648)"
A.Z. Kelley Elementary School,MNPS,5834 Pettus Road,Antioch,TN,37013,42,Basic Operating,Moves and Grooves Inc.,FY16,"5834 Pettus Road
Antioch, TN 37013
(36.022988, -86.664651)"
Una Elementary School,MNPS,2018 Murfreesboro Pike,Nashville,TN,37217,3,Basic Operating,W.O. Smith Music School,FY16,"2018 Murfreesboro Pike
Nashville, TN 37217
(36.095161, -86.654176)"
Harpeth Hall School,Private,3801 Hobbs Road,Nashville,TN,37205,25,Basic Operating,Global Education Center,FY16,"3801 Hobbs Road
Nashville, TN 37205
(36.103441, -86.840497)"
Nashville School of the Arts High School,MNPS,1250 Foster Avenue,Nashville,TN,37210,19,Basic Operating,Southern Word,FY16,"1250 Foster Avenue
Nashville, TN 37210
(36.131492, -86.741669)"
Hermitage Elementary School,MNPS,3800 Plantation Drive,Hermitage,TN,37076,50,Arts Access,"Native American Indian Association of TN, Inc.",FY16,
Oliver Middle Prep,MNPS,6211 Nolensville Pike,Nashville,TN,37211,1,Basic Operating,"Watkins College of Art, Design, and Film",FY17,"6211 Nolensville Pike
Nashville, TN 37211
(36.021676, -86.71167)"
Ross Early Learning Center,Pre-K/ELC,601 McFerrin Avenue,Nashville,TN,37206,15,Arts Access,"East Nashville Hope Exchange, Inc.",FY16,"601 McFerrin Avenue
Nashville, TN 37206
(36.180252, -86.755042)"
Old Center Elementary School,MNPS,1245 Dickerson Pike South,Goodlettsville,TN,37072,2,Basic Operating,W.O. Smith Music School,FY16,"1245 Dickerson Pike South
Goodlettsville, TN 37072
(36.290781, -86.737701)"
Christ Presbyterian Academy,Private,2323 Old Hickory Boulevard,Nashville,TN,37215,225,Basic Operating,The Nashville Shakespeare Festival,FY16,"2323 Old Hickory Boulevard
Nashville, TN 37215
(36.050647, -86.878085)"
Norman Binkley Elementary School,MNPS,4700 West Longdale Drive,Nashville,TN,37211,16,Arts Access,Tennessee Performing Arts Center,FY16,
Homeschool,Home Schooled,,,TN,,1,Basic Operating,Choral Arts Link,FY17,"TN
(35.842998, -86.343226)"
Waverly Belmont Elementary School,MNPS,2301 10th Avenue South,Nashville,TN,37204,50,Basic Operating,Cheekwood Botanical Garden and Museum of Art,FY16,"2301 10th Avenue South
Nashville, TN 37204
(36.126411, -86.786249)"
Granbery Elementary School,MNPS,5502 Hill Road,Brentwood,TN,37027,4,Basic Operating,W.O. Smith Music School,FY17,"5502 Hill Road
Brentwood, TN 37027
(36.047491, -86.752434)"
WNCP Week Day Preschool,ELC/Pre-K,6849 Charlotte Pike,Nashville,TN,37209,2,Basic Operating,Global Education Center,FY19,"6849 Charlotte Pike
Nashville, TN 37209
(36.13171, -86.895795)"
Christ Presbyterian Academy,Private,2323 Old Hickory Boulevard,Nashville,TN,37215,786,Basic Operating,Nashville Children's Theatre,FY16,"2323 Old Hickory Boulevard
Nashville, TN 37215
(36.050647, -86.878085)"
Glengarry Elementary School,MNPS,200 Finley Drive,Nashville,TN,37217,95,Arts Access,Nashville Ballet,FY17,"200 Finley Drive
Nashville, TN 37217
(36.110136, -86.7059)"
McKissack Middle Prep,MNPS,915 38th Avenue North,Nashville,TN,37209,2,Basic Operating,W.O. Smith Music School,FY17,"915 38th Avenue North
Nashville, TN 37209
(36.159449, -86.830883)"
Belmont University,Private School,1900 Belmont Boulevard,Nashville,TN,37212-3758,1,Basic Operating,Cheekwood,FY19,"1900 Belmont Boulevard
Nashville, TN 37212-3758
(36.135102, -86.795604)"
Nashville School of the Arts High School,MNPS,1250 Foster Avenue,Nashville,TN,37210,2,Basic Operating,Cheekwood,FY17,"1250 Foster Avenue
Nashville, TN 37210
(36.131492, -86.741669)"
Julia Green,Metro Nashville Public Schools,3500 Hobbs Road,Nashville,TN,37215,2,Basic Operating,Nashville Opera,FY19,"3500 Hobbs Road
Nashville, TN 37215
(36.102263, -86.832973)"
Harding Academy,Private,170 Windsor Drive,Nashville,TN,37205,244,Basic Operating,Nashville Children's Theatre,FY17,"170 Windsor Drive
Nashville, TN 37205
(36.10207, -86.866583)"
Hunters Lane Comprehensive High School,MNPS,1150 Hunters Lane,Nashville,TN,37207,98,Basic operating,Frist Art Museum,FY19,"1150 Hunters Lane
Nashville, TN 37207
(36.277943, -86.753492)"
Rocketship United Academy,MNPS,320 Plus Park Boulevard,Nashville,TN,37217,338,Basic Operating,Cheekwood,FY17,"320 Plus Park Boulevard
Nashville, TN 37217
(36.130488, -86.725368)"
Thomas A Edison Elementary School,MNPS,6130 Mt View Rd,Antioch,TN,37013,286,Basic Operating,Nashville Children's Theatre,FY19,"6130 Mt View Rd
Antioch, TN 37013
(36.063319, -86.607009)"
Hunters Lane High School,MNPS,1150 Hunters Lane,Nashville,TN,37207,105,Basic Operating,Tennessee Performing Arts Center,FY17,"1150 Hunters Lane
Nashville, TN 37207
(36.277943, -86.753492)"
Croft Middle School,MNPS,482 Elysian Fields Rd,Nashville,TN,37211,33,Youth Arts,Adventure Science Center,FY19,"482 Elysian Fields Rd
Nashville, TN 37211
(36.084443, -86.736871)"
Lipscomb Academy,Private,3901 Granny White Pike,Nashville,TN,37204,80,Basic Operating,Nashville Symphony,FY16,"3901 Granny White Pike
Nashville, TN 37204
(36.104122, -86.796661)"
Nashville Public Library - Main,Other,615 Church Street,Nashville,TN,37219,550,Basic Operating,Nashville Ballet,FY19,"615 Church Street
Nashville, TN 37219
(36.162365, -86.78201)"
Dan Mills Elementary School,MNPS,4106 Kennedy Ave,Nashville,TN,37216,1,Creation,Theater Bug,FY19,"4106 Kennedy Ave
Nashville, TN 37216
(36.218646, -86.717495)"
McGavock High School,MNPS,3150 McGavock Pike,Nashville,TN,37214-1698,27,Basic Operating,Cheekwood,FY19,"3150 McGavock Pike
Nashville, TN 37214-1698
(36.185147, -86.67648)"
Eakin Elementary School,MNPS,2500 Fairfax Avenue,Nashville,TN,37212,87,After-School Arts,Tennessee Performing Arts Center,FY17,"2500 Fairfax Avenue
Nashville, TN 37212
(36.13475, -86.807413)"
Homeschool,Home Schooled,,,TN,,3,Basic Operating,"Actors Bridge Ensemble Theatre of Nashville, Inc.",FY16,"TN
(35.842998, -86.343226)"
Creswell Middle Prep School of the Arts,MNPS,3500 John Mallette Drive,Nashville,TN,37218,40,Basic Operating,Global Education Center,FY16,"3500 John Mallette Drive
Nashville, TN 37218
(36.195104, -86.838212)"
Illuminate Academy,Private,1033 Burchwood Avenue,Nashville,TN,37216,27,Basic Operating,Tennessee Performing Arts Center,FY17,"1033 Burchwood Avenue
Nashville, TN 37216
(36.201173, -86.740623)"
Wright Middle School,Metro Nashville Public School,180 McCall Street,Nashville,TN,37211,45,Youth Arts,Conexion Americas,FY19,"180 McCall Street
Nashville, TN 37211
(36.099132, -86.734386)"
Hillwood,MNPS,400 Davidson Rd,Nashville,TN,37205,1,Basic Operating,Nashville Jazz Workshop,FY19,"400 Davidson Rd
Nashville, TN 37205
(36.117025, -86.873648)"
Buena Vista Enhanced Option Elementary School,MNPS,1531 9th Avenue North,Nashville,TN,37208,60,Basic Operating,Nashville Children's Theatre,FY16,"1531 9th Avenue North
Nashville, TN 37208
(36.177928, -86.797921)"
Pearl Cohn Enternationment Magnet High School,MNPS,904 26th Avenue North,Nashville,TN,37208,21,Basic Operating,Frist Center for the Visual Arts,FY16,"904 26th Avenue North
Nashville, TN 37208
(36.164278, -86.816051)"
Tom Joy Elementary,MNPS,2201 Jones Avenue,Nashville,TN,37207-4610,152,Basic Operating,Cheekwood,FY19,"2201 Jones Avenue
Nashville, TN 37207-4610
(36.209078, -86.757096)"
Friends Life,Other,4414 Granny White Pike,Nashville,TN,37204,27,Basic operating,Frist Art Museum,FY19,"4414 Granny White Pike
Nashville, TN 37204
(36.098149, -86.801003)"
Tennessee Virtual Online School,MNPS,415 Harding Drive.,Lebanon,TN,37087,11,Youth Arts,"Notes for Notes, Inc",FY19,"415 Harding Drive.
Lebanon, TN 37087
(36.202492, -86.283549)"
Homeschool,Home Schooled,,,TN,,19,Basic Operating,Cheekwood,FY17,"TN
(35.842998, -86.343226)"
Buena Vista Enhanced Option Elementary School,MNPS,1531 9th Avenue North,Nashville,TN,37208,55,After-School Arts,Tennessee Performing Arts Center,FY16,"1531 9th Avenue North
Nashville, TN 37208
(36.177928, -86.797921)"
Caldwell Enhanced Option Elementary School,MNPS,244 Foster Street,Nashville,TN,37207,8,Arts Access,East Nashville Hope Exchange,FY17,"244 Foster Street
Nashville, TN 37207
(36.178974, -86.768642)"
J.T. Moore Middle Prep,MNPS,4425 Granny White Pike,Nashville,TN,37204,34,After-School Arts,PENCIL Foundation,FY17,"4425 Granny White Pike
Nashville, TN 37204
(36.09542, -86.801241)"
Robertson Academy,Pre-K/ELC,835 Robertson Academy Road,Nashville,TN,37220,78,Basic Operating,Tennessee Performing Arts Center,FY17,"835 Robertson Academy Road
Nashville, TN 37220
(36.08211, -86.776012)"
Gateway Elementary School,MNPS,1524 Monticello Avenue,Madison,TN,37115,330,Basic Operating,Nashville Ballet,FY16,"1524 Monticello Avenue
Madison, TN 37115
(36.292263, -86.71023)"
Hull-Jackson Montessori Magnet School,MNPS,1015 Kellow Street,Nashville,TN,37208,414,Basic Operating,Nashville Children's Theatre,FY16,"1015 Kellow Street
Nashville, TN 37208
(36.190768, -86.807322)"
Mt. View Elementary School,MNPS,3820 Murfreesboro Road,Antioch,TN,37013,120,Basic Operating,"Country Music Foundation, Inc. dba Country Music Hall of Fame and Museum",FY19,"3820 Murfreesboro Road
Antioch, TN 37013
(36.040653, -86.604368)"
Dodson Elementary School,MNPS,4401 Chandler Road,Hermitage,TN,37076,2,Basic Operating,W.O. Smith Music School,FY16,"4401 Chandler Road
Hermitage, TN 37076
(36.191257, -86.603868)"
Eakin Elementary,MNPS,2500 Fairfax Avenue,Nashville,TN,37212,30,Basic Operating,Global Education Center,FY19,"2500 Fairfax Avenue
Nashville, TN 37212
(36.13475, -86.807413)"
Davidson Academy,Private,1414 Old Hickory Blvd,Nashville,TN,37207,10,Basic Operating,Cheekwood,FY17,"1414 Old Hickory Blvd
Nashville, TN 37207
(36.279632, -86.779502)"
Montgomery Bell Academy,Private,4001 Harding Pike,Nashville,TN,37205,300,Basic Operating,Chinese Arts Alliance of Nashville,FY17,"4001 Harding Pike
Nashville, TN 37205
(36.13064, -86.836801)"
Christ Presbyterian Academy,Private,2323 Old Hickory Boulevard,Nashville,TN,37215,512,Basic Operating,Nashville Children's Theatre,FY17,"2323 Old Hickory Boulevard
Nashville, TN 37215
(36.050647, -86.878085)"
Our Savior Lutheran Academy,Private School (K-12),5110 Franklin Road,Nashville,TN,37220,30,Basic Operating,Nashville Ballet,FY19,"5110 Franklin Road
Nashville, TN 37220
(36.06417, -86.774267)"
Smith Springs Elementary School,MNPS,3132 Smith Springs Road,Antioch,TN,37013,2,Arts Access,Global Education Center,FY17,"3132 Smith Springs Road
Antioch, TN 37013
(36.082957, -86.596744)"
Murrell School,MNPS,1450 14th Ave South,Nashville,TN,37212,1,Basic Operating,W.O. Smith Music School,FY16,"1450 14th Ave South
Nashville, TN 37212
(36.138443, -86.790303)"
Hull-Jackson Montessori Magnet School,MNPS,1015 Kellow Street,Nashville,TN,37208,18,After-School Arts,Tennessee Women's Theater Project,FY16,"1015 Kellow Street
Nashville, TN 37208
(36.190768, -86.807322)"
John Paul II High School,Private School,117 Caldwell Dr,Hendersonville,TN,37075,2,Core Operating,The Porch Writer's Collective,FY19,"117 Caldwell Dr
Hendersonville, TN 37075
(36.316707, -86.66703)"
NIA House Montessori,Private,620 North 1st Street,Nashville,TN,37207,40,Basic Operating,Nashville Ballet,FY16,
University School of Nashville,Private,2000 Edgehill Avenue,Nashville,TN,37212,1,Basic Operating,Music City Youth Orchestra,FY17,"2000 Edgehill Avenue
Nashville, TN 37212
(36.143997, -86.798995)"
